num_golfers,num_weeks,num_groups,group_size,tightness_T,probe_conflicts,sa_runtime,exact_runtime,sa_finished,exact_finished,winner
11,7,11,1,0.0,0.0,0.3169176578521728,0.5574672222137451,1,1,sa
12,7,6,2,0.6363636363636364,0.0,0.3196029663085937,0.5377030372619629,1,1,sa
12,7,12,1,0.0,0.0,0.3490123748779297,0.8359105587005615,1,1,sa
14,7,7,2,0.5384615384615384,0.0,0.4094326496124267,1.018979549407959,1,1,sa
16,7,8,2,0.4666666666666667,0.0,0.4624500274658203,1.3274531364440918,1,1,sa
18,7,6,3,0.8235294117647058,4322132.0,100.0,1.8092765808105469,0,1,exact
18,7,9,2,0.4117647058823529,1584.0,0.55019211769104,2.7282824516296387,1,1,sa
20,7,10,2,0.3684210526315789,0.0,0.6061563491821289,4.463252782821655,1,1,sa
21,7,7,3,0.7,8813867.0,100.0,3.253173351287842,0,1,exact
22,7,11,2,0.3333333333333333,0.0,0.6586081981658936,6.991297245025635,1,1,sa
24,7,6,4,0.9130434782608696,3316773.0,100.0,100.0,0,0,none
24,7,8,3,0.6086956521739131,1828378.0,100.0,5.637790679931641,0,1,exact
24,7,12,2,0.3043478260869565,0.0,0.9089570045471193,7.823230504989624,1,1,sa
27,7,9,3,0.5384615384615384,2751.0,100.0,6.238020658493042,0,1,exact
28,7,7,4,0.7777777777777778,5913324.0,100.0,100.0,0,0,none
30,7,6,5,0.9655172413793104,3297501.0,100.0,100.0,0,0,none
30,7,10,3,0.4827586206896552,3738.0,1.0771682262420654,7.907500982284546,1,1,sa
8,8,8,1,0.0,0.0,0.2924187183380127,0.2881102561950683,1,1,exact
9,8,9,1,0.0,0.0,0.2745485305786133,0.4280736446380615,1,1,sa
10,8,5,2,0.8888888888888888,1485.0,0.3470873832702636,0.3579912185668945,1,1,sa
10,8,10,1,0.0,0.0,0.3076291084289551,0.6842355728149414,1,1,sa
11,8,11,1,0.0,0.0,0.2877395153045654,0.626762866973877,1,1,sa
12,8,6,2,0.7272727272727273,0.0,0.3946456909179687,0.5448455810546875,1,1,sa
12,8,12,1,0.0,689.0,0.2607157230377197,0.9660511016845704,1,1,sa
14,8,7,2,0.6153846153846154,0.0,0.5434825420379639,0.9840519428253174,1,1,sa
16,8,8,2,0.5333333333333333,0.0,0.4140849113464355,1.5423924922943115,1,1,sa
18,8,6,3,0.9411764705882352,4131484.0,100.0,100.0,0,0,none
18,8,9,2,0.4705882352941176,0.0,0.7375178337097168,3.4639909267425537,1,1,sa
20,8,10,2,0.4210526315789473,0.0,0.6013553142547607,3.774228572845459,1,1,sa
21,8,7,3,0.8,3414527.0,100.0,5.310546159744263,0,1,exact
22,8,11,2,0.3809523809523809,0.0,0.800457239151001,6.384499788284302,1,1,sa
24,8,8,3,0.6956521739130435,6030930.0,100.0,7.19588828086853,0,1,exact
24,8,12,2,0.3478260869565217,0.0,1.0014281272888184,7.722786664962768,1,1,sa
27,8,9,3,0.6153846153846154,16450.0,100.0,8.66465950012207,0,1,exact
28,8,7,4,0.8888888888888888,2343198.0,100.0,100.0,0,0,none
30,8,10,3,0.5517241379310345,365246.0,100.0,9.734460592269896,0,1,exact
32,6,8,4,0.5806451612903226,0.0,100.0,100.0,0,0,none
32,7,8,4,0.6774193548387096,0.0,100.0,100.0,0,0,none
32,8,8,4,0.7741935483870968,0.0,100.0,100.0,0,0,none
32,9,8,4,0.8709677419354839,0.0,100.0,100.0,0,0,none
32,10,8,4,0.967741935483871,0.0,100.0,100.0,0,0,none
